id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
RP11-637A17.2	0.559409861	0.510685249	0.276157427	0.331833492	0.214061022	0.142501638	0.141979423	0.329176958	0.330214258	0.218254222	0.214662507	0.277199973
RP11-486O12.2	0	0.455897575	0.211914188	0.208101611	0.074938644	0.20879968	0.331756807	0.140802977	0.269942843	0.1491076	0.279661337	0
DNAJC3-AS1	0.313998868	0.711133746	0.753293849	0.828498117	0.665828083	0.447167812	0	0.5472856	0.906490617	0.1491076	0.34185754	0.398088663
RP11-629G13.1	0.961499294	0.988285801	0.453377316	0.389934909	0	0.990058889	0.869748259	0.904124115	0.693569625	0.575288172	0.279661337	0.75572682
RP11-392P7.6	2.114552989	1.965292475	1.763202466	1.95525077	1.865820659	2.033335382	1.800250808	2.014166392	2.169258309	1.507531668	0.744615317	1.667704178
MIR4458HG	1.922297894	2.009410987	1.338850998	1.291737129	1.119659792	1.263957429	1.896644388	1.876422397	1.740850316	1.199488839	1.273723702	1.078721358
OIP5-AS1	6.024838609	5.776980898	5.798218484	5.891605637	5.843237352	5.89873328	5.287852898	5.2648324	5.346725795	4.998527186	5.139029067	5.340144785
CKMT2-AS1	0.936207679	1.487363588	1.615356365	1.800709676	1.717777373	1.884722089	1.076561107	1.415885032	1.132497567	1.317541155	1.046966214	1.295147638
TWF2	6.327620216	6.440804315	6.537796422	6.721780876	6.782635108	6.773099707	6.727151546	6.817764259	6.876728594	6.780913547	7.059467478	6.747432326
MARS2	3.648312263	3.558149321	3.27832905	3.536436907	3.405573502	3.475370846	3.213225292	3.332406462	3.198347224	4.026632756	4.113586275	4.252431788
MTND4P12	0.452497507	0.563468208	0.560393847	0.64979587	0.074938644	0.332901179	0.271229642	0.072118554	0.269942843	0.465809118	0.279661337	0.398088663
LRP4-AS1	0.14438471	0.455897575	0.276157427	0.14201441	0.074938644	0.142501638	0.20805148	0.140802977	0.330214258	0.1491076	0.146596506	0
RP11-1277A3.1	1.178306771	0.757177724	0.7074326	0.741912139	0.713515347	0.651679639	1.062949499	1.123642192	0.782542928	0.677042169	0.61802692	0.277199973
STX18-AS1	0.549431397	0.923575577	0.32064204	1.060105382	0.94696226	0.834467773	1.068935943	1.689694361	1.247672396	0.289002681	0.498276637	0.269614183
RP11-932O9.7	0.360219125	0	0.20908653	0	0.178955933	0	0.471311981	0.297576219	0.211408445	0	0	0.112263913
CTD-2574D22.2	0.452497507	0.563468208	0.211914188	0.445786723	0.400425823	0.332901179	0.331756807	0.269077652	0.693569625	0.575288172	0.61802692	0.562319513
USP51	0.839511243	0.563468208	0.753293849	0.869917263	0.457556125	0.698578448	1.49047516	1.428468281	1.020626851	1.062697461	0.279661337	1.04208614
RP11-447H19.1	0.275624948	0	0.074150959	0.14201441	0.278894643	0	0.072735578	0.072118554	0	0	0.075159465	0
RP11-32B5.7	0.273239469	0.190847452	0.263028426	0	0	0	0	0	0	0	0	0
CTD-2366F13.1	1.786117349	2.066005023	1.924791082	1.540687781	1.121287197	1.445887984	1.877626386	1.46953022	1.630010155	1.572035149	1.20350103	0
NR2F2-AS1	0.337023614	0.145588364	0	0	0	0	0.072735578	0.38687247	0.141275862	0	0	0
TMEM161B-AS1	1.194587202	0.633374607	1.299175122	0.518068814	0.230020046	0.560020494	1.144479006	0.46518852	1.382639035	0.193878827	0.554359127	0
CCAT1	1.178306771	1.116363798	0.823940083	1.896556701	2.215137612	1.869206256	0.488588696	0.58198516	0.448865967	2.283643502	2.413314975	2.47344225
RP5-940J5.6	0.395915574	0.455897575	0.211914188	0.208101611	0.565447194	0.20879968	0.551275822	0.329176958	0.388068367	0.407787841	0.146596506	0.562319513
CTD-2001C12.1	0.706247664	0.510685249	0.660065485	0.14201441	0.146176169	0.142501638	0.331756807	0.645104194	0.497249686	0.076479293	0.146596506	0.074450845
SEC24B-AS1	0.395915574	0.145588364	0.404604664	0.331833492	0	0	0.374161159	0.241444261	0	0.1491076	0.161780018	0
DYNLL1-AS1	1.353973424	1.12892155	0.918514265	1.037817524	0	1.827804785	1.494716903	1.220821361	0.664788568	1.490972826	1.35454078	2.358181836
AC005329.7	0.706247664	0.887099026	0.611090248	0.499556663	0.759676646	0.60320488	0.649660529	0.822843845	0.825053074	0.98546407	0.849728785	0.965900842
CTD-2383M3.1	0.275624948	0	0	0.208101611	0.146176169	0	0.271229642	0	0	0	0	0.074450845
UBA6-AS1	2.401040044	2.285227752	2.451355704	1.754661376	2.352085305	2.267001187	2.239812982	1.692694339	2.428657981	2.499438772	1.819173285	2.630615649
DPH6-AS1	0.337023614	0.074629894	0	0	0.146176169	0.20879968	0.072735578	0	0.072366545	0	0	0
NNT-AS1	4.277243944	4.300440712	4.21438355	4.035549064	4.237521333	3.943973471	4.441199701	4.586969737	4.125142547	3.359124984	3.1781337	3.25180676
BCKDHA	5.091154652	5.140427498	5.246221601	4.810456998	4.74135109	4.785408004	5.271772776	5.258131043	5.260995116	5.026029559	5.036463626	4.856137256
INSL3	1.479957919	1.403712818	1.428618546	0.785854608	0.889909453	0.830767321	1.251343608	0.852143482	1.020626851	0.347334973	1.147590661	0.965900842
AC002116.8	0	0	0	0	0	0	0.278751405	0	0	0.38559419	0	0.199618145
CTC-338M12.9	0.073997852	0.074629894	0.211914188	0	0.214061022	0.140261015	0.072735578	0.140802977	0.141275862	0.076479293	0.163296506	0
SMURF2P1	0	0.185536534	0.084090947	0	0.25884892	0.179143561	0.087484813	0.079416016	0	0	0.190324203	0.251757334
