id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(padj)	-log10(pvalue)
WBP4	-0.588237473	0.015749279	0.00856378	-3.133907514	21.45638296	1.80273932336573	2.06733449808162
FAM171A1	-0.480897653	0.015774532	0.008582452	-3.13273858	21.98616483	1.802043516574	2.06638861682076
HBA1	-0.870812098	0.015774532	0.008586305	-3.132497726	22.45589678	1.802043516574	2.06619368871188
TBCB	-0.994386128	0.015796442	0.008602633	-3.131478047	21.03377307	1.80144072277828	2.06536860429615
SCP2	-0.655164332	0.015877593	0.008651252	-3.12845337	19.28934517	1.7992153347836	2.0629210373508
SNW1	-0.63003418	0.015922754	0.008680297	-3.126654567	16.2194928	1.79798181451524	2.06146541500157
SEC23B	-0.93480793	0.016106348	0.008784873	-3.120227764	21.4218448	1.79300292160725	2.05626451257482
RALGAPB	-1.734493266	0.01628111	0.008884731	-3.130157286	18.60307331	1.78831598946883	2.05135571664699
COPZ1	-1.079170122	0.01647211	0.008993551	-3.107629546	19.10428504	1.78325076618158	2.04606879823238
PCDH12	-1.249325123	0.016568912	0.009051022	-3.104211486	18.8785199	1.78070600865428	2.04330237947978
TNPO3	-0.471085428	0.016589374	0.009066823	-3.103275513	23.85503038	1.78017000176799	2.04254486236355
NUCB2	-0.480558314	0.016654062	0.00910682	-3.100913688	24.54577758	1.77847982287649	2.04063324734634
VPS13C	-0.572345395	0.016701176	0.009137238	-3.099124421	17.5799574	1.77725294727583	2.03918506276027
MMP2	0.415145934	0.016724555	0.00915469	3.098100547	25.41496432	1.77664542893327	2.03835635737745
XP32	-0.702305353	0.016792797	0.009196724	-3.095642499	18.47128777	1.7748769619621	2.0363668467951
TRAP1	-1.032601708	0.017078728	0.009358248	-3.086419587	22.25247648	1.76754447809387	2.02880544988926
RPL23	0.499945175	0.017078728	0.009362836	3.086037699	30.27425443	1.76754447809387	2.02859258367672
ZNF324B	-0.927600906	0.01710465	0.009381815	-3.084951242	18.70771559	1.7668858080398	2.02771313515685
UNC45A	-0.756802395	0.017173603	0.009424421	-3.082520149	17.35944323	1.76513858085165	2.02574532167698
PRCP	-0.305048762	0.01738574	0.009545682	-3.075660929	25.72012289	1.75980681944279	2.0201930375945
GANAB	-0.382395447	0.017398539	0.009557559	-3.074993825	27.14527768	1.75948721900923	2.01965301234683
WDR6	-0.788890649	0.017400899	0.009563705	-3.074648943	17.91975915	1.75942831374881	2.01937382850441
PPT2	-0.759018695	0.017472728	0.009608053	-3.072166835	19.45695157	1.75763928374893	2.0173646099407
C6orf132	-1.977846322	0.01767659	0.009729206	-3.108772769	18.33264762	1.75260151121316	2.01192260103576
LUC7L3	-0.578081664	0.01767659	0.009730007	-3.065399903	23.94801551	1.75260151121316	2.01188684728969
PLAA	-0.594345408	0.017689303	0.009741935	-3.064742638	24.00998941	1.75228927897368	2.01135477244804
PGAM1	0.318562609	0.017720482	0.009764045	3.063526406	26.52053122	1.75152446940758	2.01037022769743
CHST10	-0.442756526	0.017809804	0.009818225	-3.060557689	21.68790092	1.74934085999699	2.007967019584
COL7A1	1.579078659	0.017912802	0.009879999	3.067610276	19.75365701	1.74683647456652	2.00524309936931
GRID2	-0.834727677	0.017966088	0.009914396	-3.055328307	19.26689051	1.74554647742461	2.0037337385295
MTA1	-1.602581909	0.018032566	0.009960693	-3.06320981	19.21616423	1.74394246959771	2.00171044514999
WDR5	-0.368088654	0.018032566	0.009961133	-3.052805278	23.42239583	1.74394246959771	2.00169126120851
DFFA	-0.782059264	0.018086264	0.009995837	-3.050939493	20.89671511	1.74265113417676	2.00018083443612
HRH1	0.73687166	0.0181301	0.010025117	3.04937033	16.24270594	1.74159980046442	1.99891055016335
GGT1	-0.770458786	0.01829194	0.010119705	-3.044332412	21.0665274	1.73774023183278	1.99483214745072
GAPVD1	-0.480006937	0.018320573	0.010140651	-3.043223122	23.65283048	1.73706094732502	1.99393416367798
ECE1	-0.640758566	0.01840435	0.010192153	-3.040505457	24.67120641	1.73507951624492	1.99173406552707
GALK2	-0.550970357	0.018451174	0.010223226	-3.038872415	17.19109483	1.73397599560244	1.99041203835756
PSMA1	-0.432880635	0.018496813	0.010253668	-3.037277331	25.85234176	1.73290309406979	1.98912074854007
FERMT2	-0.907350818	0.01866382	0.01035145	-3.032185706	21.07474429	1.7289994626725	1.98499881128034
UTP18	-0.903955894	0.018769243	0.010415151	-3.028894487	18.05535064	1.72655324296483	1.98233442922162
SUPT5H	-0.946945874	0.018802448	0.010438818	-3.074208597	26.50024234	1.72578560373208	1.98134867423982
RALB	1.132450733	0.018838375	0.010464014	3.026383567	21.05718096	1.72495656221036	1.98030168796871
ACO1	-0.586938794	0.018867521	0.010485462	-3.025285113	23.73330558	1.7242851579562	1.97941242932546
NAXE	-1.408523169	0.01887024	0.010492232	-3.026681886	20.2989545	1.72422257625198	1.97913211503118
ATP7A	-0.589106284	0.018913601	0.010521613	-3.023438712	16.41687528	1.72322577704902	1.97791767621833
ARHGEF7	-0.707410694	0.018958483	0.010551865	-3.021898481	16.67656595	1.72219641652785	1.97667077376667
QDPR	0.382557456	0.019077981	0.010623692	3.018259113	27.17025135	1.71946758806771	1.9737245287742
NRBP1	-0.633372612	0.019106662	0.010644988	-3.017184789	20.71146129	1.71881517906769	1.97285482380168
MICAL3	-1.083850381	0.019110088	0.010652223	-3.016820309	21.38849942	1.71873731305873	1.97255975035779
FKBP10	0.676949207	0.01912094	0.010664537	3.016200507	21.08933108	1.718490761287	1.97205799466462
GNPDA2	-1.0828556	0.01912094	0.01066893	-3.015979555	20.86499039	1.718490761287	1.97187913431473
GOLIM4	-0.557353098	0.019133586	0.010681319	-3.015356987	21.43991801	1.71820362725124	1.97137511443747
CLTB	-0.971484503	0.019167561	0.010705627	-3.014137476	18.72399559	1.71743314594463	1.970387892156
AP1M1	-0.702617061	0.019179326	0.010717544	-3.013540642	21.67229139	1.71716665887672	1.96990472485321
SERBP1	-1.125957509	0.019681192	0.011003476	-3.051023709	25.2152952	1.7059486018729	1.95847009946438
UMODL1	-0.877675684	0.01980434	0.011084182	-2.995495227	19.65476749	1.70323962632882	1.95529635180475
ACY1	-0.428153218	0.01980434	0.011086633	-2.995376604	23.12853147	1.70323962632882	1.95520032865183
ITSN2	0.416999449	0.01980434	0.011088885	2.995267642	21.687932	1.70323962632882	1.95511212045966
CTNNB1	-0.587682738	0.019871585	0.011132075	-2.99318214	23.31263969	1.70176749125452	1.95342387636095
ATG4B	-0.822652361	0.019902583	0.011154987	-2.992079062	17.71578524	1.70109055626115	1.95253093150579
CTSZ	0.53936755	0.019932056	0.011177061	2.99101847	27.36991987	1.70044790132956	1.95167237885395
TWF1	-0.449708969	0.019959679	0.011201234	-2.989859471	23.42601597	1.69984644750004	1.95073413002005
TMBIM6	-0.724591711	0.019959679	0.011203677	-2.989742435	17.97872371	1.69984644750004	1.95063942030007
SEPTIN7	-0.583963725	0.019987826	0.011225047	-2.988720107	23.1608107	1.69923443987628	1.94981183190166
FHL2	-0.609174215	0.020044929	0.011262703	-2.986923368	21.33544635	1.69799547770046	1.94835736817845
RAD23A	-0.63621238	0.02008425	0.011290394	-2.985605925	20.98555597	1.69714438135541	1.94729090226988
USP34	-1.463271435	0.020100881	0.011305345	-2.994716202	16.8047851	1.69678490750221	1.94671617995196
GFPT1	-0.609951638	0.020122244	0.011322968	-2.984060255	21.64896009	1.69632358909947	1.94603972004954
QSOX2	0.509190804	0.020165434	0.011352892	2.982644271	23.34243244	1.69539242668007	1.94489349356725
STRAP	-0.366829313	0.020183321	0.011373783	-2.981657922	25.27287969	1.69500737262293	1.94409506189373
RRBP1	-0.626169002	0.020183321	0.011374213	-2.981637645	24.31839823	1.69500737262293	1.94407864316153
BTD	0.414073633	0.020224954	0.011403312	2.980266838	23.20430115	1.69411245748177	1.94296899301261
TMEM87A	-0.703918916	0.020287765	0.01144438	-2.978338052	21.6885347	1.69276579434816	1.94140773028278
ZCCHC17	-0.798800424	0.0204455	0.011539057	-2.973917769	19.42307908	1.68940226419569	1.93782968133889
BCCIP	-0.534113388	0.020504668	0.011578165	-2.972102449	22.47113159	1.68814725817046	1.93636026561056
DIS3L2	-0.85345757	0.020593061	0.011633817	-2.969529698	17.34272818	1.68627909405203	1.93427777193831
SMU1	-0.494591876	0.020702955	0.01170167	-2.966409437	21.83891906	1.68396766185699	1.93175215363599
LTV1	-0.602494653	0.020776734	0.011749162	-2.964236222	18.02164928	1.68242272036187	1.92999310800964
CD14	0.65173768	0.020810466	0.011774037	2.963101435	18.76636461	1.68171819470607	1.92907460374802
COL9A2	-0.779498585	0.0208446	0.011799159	-2.961957825	22.57384555	1.68100643440478	1.92814894647993
GPI	-0.282947223	0.020914449	0.011844526	-2.959898716	28.52098601	1.67955357260435	1.92648231440119
SKIV2L	-1.990289339	0.020949246	0.011870072	-3.005630148	16.9642154	1.67883160343431	1.9255466467482
DNTTIP2	-1.005350587	0.021030498	0.011921971	-2.956401763	18.34890295	1.67715044314386	1.9236519389195
VCP	-0.326001686	0.021161686	0.012002238	-2.952801192	27.70066049	1.67444973402216	1.92073776558343
PGK1	-0.260451676	0.021183393	0.012020454	-2.951987448	28.9533051	1.67400447656287	1.92007912917427
EGFR	0.355447785	0.021217934	0.012045968	2.950849703	23.95729967	1.67329690582964	1.91915829486309
PNPT1	-0.674090894	0.021220891	0.012053561	-2.950511562	18.27093267	1.67323638536118	1.91888462992049
PPIA	-0.520299476	0.021225734	0.012062227	-2.950125878	25.23750511	1.67313728263228	1.9185725027661
PPIF	-0.795219147	0.021283233	0.012100835	-2.948411117	18.68588477	1.67196240046474	1.91718466080913
SNRPF	-0.681252751	0.021356447	0.012148414	-2.946305379	20.36113084	1.670470997741	1.9154804163873
CSTB	-0.854744701	0.021387352	0.012171955	-2.945266536	17.18216121	1.6698429827486	1.91463966190768
MKLN1	-3.028771591	0.021545762	0.012268114	-3.002721075	18.72381447	1.66663814179176	1.91122219704064
SMCHD1	-1.586020453	0.021552653	0.012278044	-2.95007402	18.73962382	1.66649926321349	1.91087081460102
DIDO1	-0.652473187	0.021655987	0.012342947	-2.937780335	16.61621793	1.66442201794266	1.90858113584283
ZDHHC3	-0.58031025	0.021659116	0.012350767	-2.937440442	16.95811382	1.66435927274101	1.90830607126874
CSNK1D	-0.6807486	0.022140199	0.012631267	-2.92538821	17.42444664	1.65481847992462	1.8985530846378
ABI3BP	-1.852138369	0.022245271	0.012697412	-2.961079672	17.9321663	1.65276229915003	1.89628478838689
FAM234A	-0.49170141	0.022312692	0.012742114	-2.920698735	21.33709283	1.65144802943755	1.89475851372977
ESRP1	-0.715183771	0.022352084	0.01277084	-2.919490113	16.85497808	1.65068197913129	1.89378053614559
TNFAIP2	-0.890510252	0.022390361	0.012798949	-2.918310002	22.03686152	1.64993890423052	1.89282569146468
FAH	-0.389882054	0.022431034	0.012828451	-2.917074235	22.15194926	1.6491507063482	1.89182578031763
MYADM	-0.674649223	0.022750936	0.013017746	-2.909211622	22.01936423	1.6430007312586	1.88546420659
TFRC	0.278741749	0.022854902	0.013083603	2.906502779	29.88859878	1.64102063659082	1.88327264228514
NPC1	-1.158050132	0.022918937	0.013127223	-2.904716073	20.22733182	1.63980552918894	1.88182713707372
ZFR	-0.794650093	0.022918937	0.013133036	-2.904478387	20.34654104	1.63980552918894	1.8816348652561
H4C1	-0.388914311	0.023015255	0.013194643	-2.901966038	26.71777572	1.6379842089308	1.87960235574537
LLGL2	-1.035541981	0.023044704	0.013217949	-2.901018662	17.25032387	1.63742886584244	1.87883592813977
ANXA1	-0.365550708	0.023073426	0.013240854	-2.900089186	25.98901717	1.63688791556012	1.87808400314959
PROM1	-1.000336372	0.023180642	0.013308841	-2.897339695	17.41569779	1.63487454019312	1.87585976339992
IMP4	-0.79687063	0.023240027	0.013349414	-2.895705538	17.19946271	1.63376337172301	1.87453779813103
RABGAP1L	-0.434950911	0.02346151	0.013483175	-2.890352665	22.88736537	1.62964403980941	1.87020782867471
CD70	0.751445373	0.02371676	0.013636476	2.884282386	19.83518514	1.62494464120286	1.86529784753076
ATG16L1	-0.82825808	0.023772792	0.013675318	-2.882755112	20.09180691	1.62391980947979	1.86406256597885
FARSB	-0.845039889	0.023846979	0.013724641	-2.880821935	18.57932728	1.62256663074254	1.86249900671453
DPP8	-2.047096427	0.024139837	0.013899918	-2.91762987	19.29840766	1.61726566672581	1.85698776177846
ROBO3	0.621927225	0.024186228	0.01393337	2.872716542	22.73273819	1.61643185741406	1.85594383006592
ASMTL	-1.487531883	0.024347485	0.014033055	-2.877792178	19.46629181	1.61354589305438	1.85284777264857
PHACTR4	-0.687310638	0.024363402	0.014049019	-2.868277409	17.14839919	1.61326206880317	1.8523540001547
PAK4	-1.110131444	0.024466074	0.014115043	-2.86575932	19.44375953	1.6114357150344	1.8503177944824
TPP1	0.400432709	0.024612297	0.014206261	2.862299496	27.91007811	1.60884785286067	1.84752021065379
EIF1AX	-0.431649195	0.024627558	0.014221934	-2.861707261	21.8162965	1.60857864945621	1.84704134112975
PGM2	-0.353446387	0.024710443	0.014276686	-2.859643429	26.42543964	1.60711946865171	1.84537259220582
SUMF2	-0.451562392	0.024768446	0.0143171	-2.858125039	24.09653539	1.60610124068087	1.84414494163314
NDRG1	-0.703678091	0.024787036	0.014334755	-2.857463093	22.3240915	1.60577540246998	1.84360972532352
SCARB2	-0.579336365	0.024937981	0.014428999	-2.853943052	20.51375715	1.60313871028221	1.84076379668582
VAMP7	-0.613836064	0.025029373	0.014488854	-2.851719278	17.88919087	1.60155002957878	1.83896596381514
NUP205	-0.704219247	0.025205207	0.014597664	-2.847699914	19.09848258	1.5985097315292	1.83571663689223
FLOT2	-0.918199949	0.025357312	0.014692824	-2.844209063	18.3798406	1.59589678570511	1.83289472362798
ITFG1	-0.536540809	0.025440108	0.014747888	-2.842199283	20.22915986	1.59448104932455	1.83127016921934
SERPING1	0.412625032	0.025455967	0.014764177	2.841606204	23.28895659	1.59421040069746	1.83079075691566
MAP7D1	-1.813313737	0.025621204	0.014867153	-2.87749515	17.23949791	1.59140046560343	1.82777218916256
RAE1	-0.909884334	0.025977413	0.01508109	-2.830194251	21.24628549	1.58540410098303	1.82156726828867
XPO5	-0.425789077	0.02621279	0.015225311	-2.825079329	21.42955592	1.58148675176921	1.81743382748298
GLCE	0.484593867	0.02621279	0.015232349	2.824830964	23.29253966	1.58148675176921	1.81723311839252
NUTF2	-0.978983093	0.026370701	0.015331461	-2.82134518	20.85067384	1.57887832540621	1.81441645740885
TES	-0.550950146	0.026485291	0.015405463	-2.818757031	20.76440561	1.57699525100854	1.81232524474571
SGSM2	0.90282853	0.026533792	0.015441069	2.817516125	20.45164782	1.57620067964478	1.81132263633641
LRRN1	0.415928553	0.026549934	0.015457863	2.816931834	21.63156051	1.57593655418596	1.81085054608764
HTATSF1	0.29010326	0.0266061	0.015497979	2.815538642	25.2187273	1.57501878093943	1.80972493191835
FLNA	-0.256751257	0.02661065	0.015508046	-2.815189587	31.33376318	1.57494451710718	1.80944291945767
NUP188	-1.971339197	0.026615893	0.015518519	-2.856250141	18.11458236	1.57485895806661	1.80914972771816
MAT2A	-0.612062526	0.026678588	0.01556251	-2.813305021	24.75796506	1.57383715976433	1.80792035649555
PAM	-0.271884989	0.026983821	0.015748576	-2.806915569	26.14949443	1.56889655274719	1.80275870938556
CS	-0.32703225	0.026983821	0.015755604	-2.806675728	24.47129349	1.56889655274719	1.80256494324599
CDH3	-0.369282068	0.026986943	0.015772385	-2.806103387	24.92939103	1.56884630823429	1.802102630449
ARFGAP1	1.31999195	0.026986943	0.015776089	2.80607113	18.9278204	1.56884630823429	1.80200065234582
PREP	-0.324720793	0.026986943	0.015779991	-2.805844184	26.66779711	1.56884630823429	1.80189324882314
LAMB2	-0.410561065	0.026996437	0.015793066	-2.805398878	27.70862591	1.56869355040943	1.80153354968628
MYO1C	-0.927180636	0.027059749	0.015839599	-2.80381703	20.00579106	1.56767623613531	1.80025581733565
NME1	-0.270179743	0.027059749	0.015845187	-2.803627381	28.57528844	1.56767623613531	1.80010263103418
RNF123	-0.423888628	0.027132066	0.015895096	-2.801936487	21.830919	1.5665171351644	1.79873684477693
FGFR1	0.815177464	0.027174444	0.015927496	2.800841583	21.25980593	1.56583933298968	1.79785249531377
RIOK1	-1.964207144	0.027235203	0.015970699	-2.842857876	16.70041782	1.56486938332636	1.79667607539568
RERE	-0.81579266	0.027424418	0.016089298	-2.795406517	17.1236008	1.56186258023713	1.79346290440173
THOP1	-0.34295968	0.027597267	0.016198879	-2.791756202	22.72371035	1.55913392465901	1.790515038603
MYL6	-0.512951729	0.027597267	0.016206087	-2.791516925	22.07803473	1.55913392465901	1.79032183397645
LANCL1	-0.907295471	0.027643162	0.016242737	-2.790302022	20.4499814	1.55841228110215	1.7893407876661
MMS19	-0.642396741	0.027643162	0.016248447	-2.790113003	17.58056778	1.55841228110215	1.78918814185811
CLP1	-0.622981905	0.027665039	0.016269017	-2.78943257	20.5589671	1.55806871321513	1.78863868703688
HIBADH	-0.61839586	0.027732746	0.016316563	-2.787863031	16.6375631	1.55700712596476	1.78737131784533
ALAD	-0.546888041	0.027850741	0.016393747	-2.785324691	18.84037003	1.55516324544788	1.78532177153998
TGFB1	0.849461295	0.027979647	0.016477423	2.782586157	21.04911502	1.55315776900499	1.78311070916758
H3-3A	-0.500270569	0.02812929	0.016573389	-2.779462274	26.38293594	1.55084122954733	1.78058867604015
ATP1A1	-0.423380177	0.028158476	0.016598433	-2.77864999	26.57896032	1.5503908538872	1.77993291024764
ASPH	-0.698123926	0.028229545	0.016648193	-2.777039607	21.94825295	1.54929612169657	1.77863289805657
CTNNA2	-0.62184465	0.028395328	0.016753877	-2.773635113	19.63714356	1.54675311033085	1.77588467729146
ENSA	-1.234053931	0.028410292	0.016770624	-2.773188857	17.73407809	1.54652430259044	1.77545077789988
CCNC	-1.165993761	0.028598143	0.016889483	-2.769297606	18.44806508	1.54366216655755	1.77238364431198
AGL	-0.335971462	0.028631766	0.01691732	-2.768411476	24.50898388	1.54315186397975	1.77166843570589
GRSF1	-0.76749661	0.028781211	0.017013642	-2.765356303	18.61994632	1.5408909366137	1.76920270983253
CDK2	-0.646889489	0.02879886	0.017032102	-2.764772746	18.39471173	1.54062470340426	1.76873175070639
GDI1	0.272404326	0.029283161	0.017326686	2.755543622	25.21741752	1.53338204473249	1.76128449496317
TENM4	-0.442614952	0.02940778	0.017408619	-2.753004251	16.47833536	1.53153775924472	1.75923567945521
VPS26C	-1.129394323	0.029411816	0.017419206	-2.752676987	17.11125075	1.53147815963334	1.75897164483223
MAU2	-0.512905021	0.029468397	0.017460929	-2.751389133	18.36882832	1.53064348793661	1.75793265359491
FZD2	1.05794766	0.029563883	0.017525747	2.749394421	20.96988893	1.52923852512422	1.75632346203097
