id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
PITPNB	-0.756157143	0.020690388	0.009849271	-3.058863972	23.25193212	2.00659591289261	1.68423136507718
POFUT2	-0.372493029	0.021122368	0.010060793	-3.047464563	24.02560701	1.99736778648178	1.67525739524409
KIF11	-4.448749625	0.021172837	0.010090733	-3.113160761	18.22387105	1.99607728507203	1.67422094590615
PCYT1A	-1.075423369	0.021199531	0.010109364	-3.044880875	20.66465311	1.9952761658708	1.67367374691866
RAB11FIP1	0.983460061	0.021339897	0.010182247	3.04102708	18.92143631	1.99215637209578	1.6708076810896
IL6ST	-0.351595924	0.021504413	0.010266739	-3.036593896	23.61738503	1.98856747842797	1.66747240776417
TXN	-0.458558683	0.021541861	0.010290621	-3.035347424	22.58167148	1.98755841641973	1.66671678074469
G3BP1	0.581654571	0.021585909	0.010317679	3.033938706	24.19474466	1.9864179878697	1.66582965813248
AGO1	-1.306857976	0.021676653	0.010372214	-3.031110696	18.60212272	1.98412853142637	1.66400777452507
RAD1	-0.921918057	0.021676653	0.010373136	-3.031062964	17.63916899	1.98408992812369	1.66400777452507
MAMDC2	-0.406316068	0.021736107	0.010407646	-3.029281233	25.81220394	1.98264748805112	1.66281823669013
COPG2	0.533760472	0.021931913	0.010507513	3.024158082	25.74726685	1.97850006400872	1.65892348555414
ETNK1	-0.819033505	0.02206078	0.010575402	-3.020703165	18.75916704	1.97570311491619	1.6563791363334
PPM1A	-0.845543265	0.022099014	0.010599889	-3.019462424	22.0830687	1.97469868255975	1.65562710296249
PPP3R1	0.804437477	0.022187294	0.010648417	3.017012011	17.1576376	1.97271494990257	1.65389566182972
PARP1	-0.450344872	0.022308732	0.010712917	-3.013772333	26.13233172	1.97009225983894	1.65152511376156
WDR5	-0.363125555	0.022384464	0.010755523	-3.011642983	23.42239583	1.9683684666813	1.65005330041519
THAP12	-0.600131898	0.022427303	0.010782357	-3.010306188	20.71315825	1.96728629293371	1.64922294945055
COL14A1	0.346649299	0.02247048	0.010809378	3.008963476	26.51705452	1.96619929577283	1.64838765036125
SFT2D3	-1.26933162	0.022529667	0.010844129	-3.007241548	19.26997087	1.9648053247641	1.64724522732327
SMAP	1.77921726	0.022533427	0.010852219	3.030351489	19.12109054	1.9644814506705	1.64717275350442
PTGR2	-1.752011802	0.022534135	0.01085884	-3.05673937	21.52759448	1.96421656595402	1.64715910819149
HDAC1	-1.466228087	0.022573131	0.010890215	-3.028440249	21.15399303	1.96296354610356	1.64640819804608
KRI1	-0.715688819	0.022573131	0.010885126	-3.00521718	18.197422	1.96316653944898	1.64640819804608
XPO7	0.379488923	0.022617978	0.010918154	3.003591856	26.99060787	1.96185078428555	1.64554622269497
POLB	0.557680278	0.022738876	0.010987541	3.000193261	17.99188404	1.95909949134565	1.64323100662551
ARHGAP29	-0.629624055	0.022738876	0.010989189	-3.000112763	22.6840947	1.95903435724176	1.64323100662551
ENAH	-0.444799967	0.022805134	0.011027566	-2.998242515	24.99313672	1.95752033428861	1.64196737155768
ADAMTS12	-0.964653499	0.022811446	0.011036976	-2.997784918	16.61528737	1.9571499018253	1.64184718425792
GPALPP1	-1.195392641	0.022914722	0.011093971	-2.995021637	19.7541436	1.95491297371556	1.63988540722122
ARMC5	-0.648975421	0.022914722	0.011099718	-2.994743816	20.36503885	1.95468805478088	1.63988540722122
MARS1	-0.533563345	0.022927343	0.011112221	-2.994139828	20.66958902	1.95419912993008	1.63964627179856
CBX5	-0.424305825	0.022955009	0.011132028	-2.993184421	23.74917323	1.95342570997093	1.63912253262353
PRKACA	-0.809058606	0.022990395	0.011155596	-2.992049809	22.10965039	1.9525072220994	1.6384535670149
GIGYF2	-0.767010394	0.023091434	0.011211059	-2.989389094	17.9709164	1.95035336188017	1.63654909614523
GLRX3	0.562204413	0.023313521	0.011325381	2.983945956	20.25941811	1.94594717885912	1.63239213079549
TRIM44	1.106481352	0.023333977	0.011341822	2.983167687	19.84583922	1.94531717286949	1.63201123454715
SERPINI1	0.454532649	0.023396173	0.011378574	2.981431994	24.12155606	1.94391216173147	1.63085517596201
PPME1	-0.791171422	0.023479086	0.011425441	-2.979226657	20.5488346	1.9421270280047	1.62931881342453
SLC38A1	-0.788114626	0.023512432	0.011448222	-2.978158009	20.54117982	1.94126195747678	1.62870244745719
MRE11	-0.539842743	0.023520791	0.011458847	-2.977660279	21.76145225	1.94085907929091	1.62854807710446
LRP8	-0.669067829	0.023545286	0.011477343	-2.976794975	18.15381989	1.94015863928945	1.62809602989879
CPNE3	-0.566617133	0.023560853	0.011491497	-2.976133705	21.49705992	1.93962339198267	1.62780899034983
ARPC5L	0.507830828	0.02357584	0.011508244	2.975352409	21.66019838	1.93899093868906	1.62753282453482
PYM1	0.645715546	0.02357584	0.011511949	2.975179708	19.15322113	1.93885114306968	1.62753282453482
KRT1	1.028483237	0.023651698	0.011562173	3.029801797	29.2574306	1.93696053674405	1.62613767498711
TCP1	-0.36793622	0.023651698	0.011557612	-2.973055729	24.41761029	1.9371318893027	1.62613767498711
GPX3	-0.439972943	0.023682563	0.011588265	-2.971634615	24.5153492	1.93598158192515	1.62557129871755
RPS14	-0.602374665	0.023682563	0.011590463	-2.971532881	22.26790364	1.93589921508655	1.62557129871755
TBC1D9B	-0.579867836	0.023708256	0.011609645	-2.970645647	21.41387098	1.93518105992536	1.62510039192791
NCAM2	0.896657928	0.023868402	0.011694719	2.966836126	22.97480492	1.93201020893098	1.62217665622632
BCHE	-0.322271101	0.023874702	0.011704459	-2.96628157	26.71881455	1.93164865533298	1.62206204050079
FGFBP1	-0.411479499	0.023916021	0.011731382	-2.965048828	24.81777527	1.93065082338149	1.62131107390968
NAXE	1.380368214	0.023925873	0.011742882	2.966181575	20.2989545	1.93022530316569	1.62113220685663
HNRNPD	-0.286639255	0.023929376	0.011751271	-2.964139925	26.88975926	1.92991515820635	1.62106862622108
NCOR1	0.65216517	0.023950883	0.011768508	2.963353468	20.64240803	1.92927859309876	1.6206784707689
LDHB	-0.282744044	0.024081636	0.011839466	-2.960127966	30.08731502	1.92666788532284	1.61831401236282
SLITRK5	0.97676592	0.024107256	0.011863805	2.959026079	21.45564586	1.9257760002231	1.61785222022721
RAD50	-0.413508374	0.024107256	0.0118655	-2.958949411	24.33125115	1.92571395633702	1.61785222022721
RPLP2	0.602578708	0.024127741	0.011882307	2.958189903	23.98152188	1.92509923106356	1.61748333773317
MATR3	0.64461002	0.024169576	0.011909646	2.956956759	22.66468396	1.92410114721004	1.61673096823014
SIPA1L1	-0.898016505	0.024385232	0.012022708	-2.951886838	18.0269664	1.91999770063629	1.6128731081946
CAPN5	-1.241144547	0.024426381	0.012051965	-2.950689007	20.73218553	1.91894213822743	1.61214087310664
CRABP2	0.57125639	0.024426381	0.012056611	2.950375794	22.30949411	1.91877475113764	1.61214087310664
PLOD2	-0.336430692	0.024547568	0.012123269	-2.947417184	26.40021963	1.91638025828572	1.60999152824565
ENTPD2	-0.831706771	0.024709226	0.012209994	-2.943592134	18.99345394	1.91328454946769	1.60714085836942
PLPBP	0.514030055	0.024782086	0.012252904	2.941709511	21.0215489	1.9117609691191	1.60586214024567
ENPP5	-0.477941579	0.024835464	0.012286217	-2.940252492	21.12236232	1.91058181841005	1.60492772168619
STAT6	-0.878224491	0.024977218	0.012363305	-2.936895919	15.87286568	1.90786541667477	1.60245593563891
HPRT1	0.44125925	0.024987292	0.012375256	2.93637743	24.27034783	1.9074458082944	1.60228080802653
