id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
KIFAP3	-1.549884779	0.002869477	0.000810139	-4.428267537	19.98728559	3.09144046043747	2.54219725194616
COL4A1	-0.638688696	0.002911853	0.000822915	-4.419368181	25.22897977	3.08464502133378	2.5358305534319
RCOR3	-1.380607147	0.002917561	0.000825341	-4.417694356	18.74516578	3.0833665801524	2.53498005501303
NCAM2	1.333565163	0.0029431	0.000833386	4.412462296	22.97480492	3.07915379950367	2.53119498128796
WDR75	-1.017344293	0.00294625	0.000835614	-4.410663473	18.77393172	3.07799429239708	2.53073040446762
AP3D1	-0.684012207	0.00294625	0.000836201	-4.410264389	23.15294396	3.07768931741916	2.53073040446762
HSPA2	-0.794779598	0.00294625	0.000836741	-4.409897344	21.89520269	3.07740895022368	2.53073040446762
ESRP1	-1.079436341	0.002961405	0.000841871	-4.406425107	16.85497808	3.07475445040086	2.52850219469197
HNRNPC	-0.70930287	0.002987544	0.000850134	-4.400877354	28.14306702	3.07051261443408	2.52468568978724
UCHL5	-2.174068101	0.002989962	0.000851736	-4.404120497	18.79029986	3.06969499620765	2.52433433117229
CELSR1	0.96659708	0.002989962	0.00085278	4.39911292	22.61332791	3.06916299357957	2.52433433117229
EML4	-0.53112398	0.002989962	0.000853322	-4.398752019	25.16643768	3.0688870574197	2.52433433117229
PRKACA	-1.189205154	0.002991516	0.0008546	-4.39790273	22.10965039	3.06823711151882	2.52410867000959
SNRPD3	-0.476323398	0.003014493	0.000862004	-4.393005982	25.28793829	3.06449071889234	2.52078572027927
ENTPD6	0.749708398	0.003027643	0.000866608	4.389983066	21.53875057	3.06217730613961	2.51889533533792
BTF3L4	-0.865994956	0.003028814	0.000867787	-4.389211419	21.98235517	3.06158686016504	2.51872739594872
RABGAP1L	-0.660013515	0.003040749	0.000872794	-4.385947415	22.88736537	3.05908824795575	2.51701942741058
RPL9	-1.23304761	0.003040749	0.000872902	-4.385877622	20.88304402	3.05903451144709	2.51701942741058
