id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
NUP35	0.188609603	0.471948889	0.314432445	1.051345451	21.7642917	0.502472647246306	0.326105031931963
UPF1	0.0561018	0.472678177	0.314985146	1.050090653	26.34282991	0.501709926090842	0.325434448103814
BRD8	0.131250557	0.47378351	0.315788698	1.048269268	19.87293542	0.500603417342508	0.324420058937511
TRIM47	-0.147311092	0.473991658	0.316121209	-1.048081239	24.91243921	0.500146365778034	0.324229301609561
NOMO1	0.238229805	0.473991658	0.316019919	1.047745807	19.06623768	0.500285542574164	0.324229301609561
U2AF1	0.067814087	0.473991658	0.316128448	1.047500205	26.00357399	0.500136420789627	0.324229301609561
CC2D1A	0.07354055	0.474862526	0.316776401	1.046035192	24.14641964	0.499247179662176	0.323432101619419
RAB5A	0.24627956	0.474918898	0.316948278	1.047202664	23.20720641	0.499011603434928	0.323380548603233
THRAP3	-0.074773797	0.474918898	0.316890142	-1.045778255	26.2780562	0.499091270880997	0.323380548603233
CENPC	-0.199264397	0.475018347	0.317111313	-1.045278833	17.25835993	0.498788264167066	0.323289615960438
C18orf25	0.115994319	0.475018347	0.317148947	1.045193877	21.58651339	0.498736726211492	0.323289615960438
SLC66A2	0.129418945	0.475118534	0.317283002	1.044891324	17.91806924	0.498553194005304	0.323198027764485
TMEM237	0.869530228	0.475625474	0.317700457	1.048713386	19.03600911	0.497982160456342	0.322734893074878
EIF5	-0.063254612	0.475625474	0.317780103	-1.043770223	26.09992953	0.49787329853148	0.322734893074878
COX19	-0.212841152	0.475625474	0.317867166	-1.043574006	21.33999415	0.497754330095499	0.322734893074878
CAMK1D	0.267808378	0.475625474	0.317890478	1.043521473	18.39459207	0.497722480622474	0.322734893074878
SNRPE	0.07054947	0.475655765	0.317977964	1.043324355	23.90523391	0.497602975753938	0.322707235188615
VPS36	0.179345758	0.475926452	0.318281253	1.042641309	21.78235404	0.497188940890226	0.322460156436
MFN1	-0.187775199	0.475926452	0.318293475	-1.042613792	21.45723971	0.497172264302466	0.322460156436
MAP2K2	-0.08771222	0.477082132	0.319133821	-1.040723798	24.96679666	0.496027167930176	0.321406848624718
RLIM	-0.175570105	0.477545412	0.319533672	-1.039825802	17.20206237	0.49548336976454	0.320985323047259
PXN	0.095892612	0.477545412	0.319578736	1.039724648	24.91414841	0.495422125306383	0.320985323047259
FERMT2	0.076861005	0.477787924	0.319808569	1.039208913	24.35926053	0.495109903880722	0.32076483115885
GHDC	-0.596633114	0.47874816	0.320654337	-1.039879577	18.34538949	0.493962881670865	0.319892882168767
