id	logFC	adj.P.Val	P.Value	t	AveExpr	-log10(pvalue)	-log10(padj)
NOCT	0.099154577	0.822427721	0.759646979	0.313228729	16.96427815	0.119388184944015	0.084902259639614
TSPO	0.038390942	0.822677426	0.759993919	0.312760313	22.83225829	0.119189882660406	0.0847704194291153
UBE3B	0.187736804	0.82300676	0.76047923	0.312538739	17.69743571	0.118912642780697	0.0845965975718851
GTF2E1	0.055423864	0.82300676	0.760530844	0.312061658	22.82616457	0.118883168057577	0.0845965975718851
ZFPL1	0.047650482	0.823115739	0.760747908	0.311742579	22.82691372	0.118759233245583	0.0845390939797269
DNAJC1	-0.042983823	0.823128144	0.760875732	-0.311570077	18.99926324	0.118686267426012	0.0845325488704587
LDLRAP1	-0.103193493	0.823497791	0.761333836	-0.310951935	18.10511846	0.118424868405107	0.0843375614703012
DPH5	0.039535561	0.823507888	0.761459584	0.31078228	21.20433669	0.118353142769945	0.0843322365689487
NDUFV2	-0.031755604	0.824621559	0.762605914	-0.309236126	23.00703967	0.117699831100629	0.0837453151418139
AASS	0.072235526	0.824818012	0.762904192	0.308833945	16.71493084	0.117529998740143	0.0836418636959327
AGMAT	0.024170146	0.827578512	0.765574467	0.305235875	22.72227004	0.116012559329853	0.0821907942762159
FNBP1	-0.075353676	0.827840616	0.76593396	-0.304837591	22.27046438	0.115808674289068	0.0820532698029141
FAF1	-0.027990159	0.827907875	0.766113224	-0.304510443	22.35237297	0.115707041170751	0.0820179864096534
GALNT18	0.053863048	0.827948006	0.766295837	0.304264595	19.60689991	0.115603533797143	0.0819969354570232
RBMX2	0.061331297	0.827948006	0.766384442	0.304145315	18.43537151	0.115553320242314	0.0819969354570232
STAT1	-0.018944036	0.82801493	0.76656344	-0.303904363	25.32978114	0.115451897558689	0.0819618323477798
MAST3	-0.086808648	0.828036383	0.766700355	-0.303720072	18.3375035	0.115374335655328	0.0819505803781727
SNAPC1	0.05093404	0.828464515	0.767213887	0.303028944	17.3484178	0.115083544793484	0.0817260886565072
LARP1B	0.238586102	0.829099847	0.768036655	0.302640793	20.9091972	0.114618052514901	0.0813931649986218
RBM42	-0.091791393	0.829099847	0.767943622	-0.302187851	21.49996984	0.114670662199009	0.0813931649986218
RPL35	-0.020471768	0.829150064	0.768211174	-0.30168721	26.77072736	0.114519380103351	0.0813668614048634
PPP4R3B	0.034235751	0.829150064	0.768317595	0.301544066	19.64782559	0.114459221056459	0.0813668614048634
CHCHD6	-0.066564764	0.82944706	0.768710055	-0.30107887	22.25342926	0.114237438167814	0.0812113278838419
TWNK	-0.033354538	0.829465328	0.76884424	-0.300835795	21.64337833	0.11416163491925	0.081201762952441
PFDN6	0.028650458	0.829579351	0.769067201	0.30053599	25.67945909	0.114035709940637	0.0811420664772166
TREX1	-0.218742987	0.82985753	0.7694424	-0.300671591	18.93614888	0.113823885642057	0.0809964609321112
UBA2	0.014676016	0.829862212	0.769711117	0.299670308	26.25076522	0.113672240844848	0.0809940106789596
GAN	-0.05321585	0.829862212	0.76980306	-0.29954672	18.00408734	0.113620366898906	0.0809940106789596
ATP5MG	-0.03033682	0.829862212	0.769803231	-0.299546491	23.54425287	0.113620270427026	0.0809940106789596
TBCD	0.019144558	0.829862212	0.769915987	0.299394931	24.50750662	0.113556662324826	0.0809940106789596
LAMB2	0.03068789	0.830160766	0.770336699	0.298829508	23.49944848	0.113319411766817	0.0808377955447518
ANKRD27	0.049465825	0.830160766	0.770427683	0.298707241	18.99530716	0.113268120538062	0.0808377955447518
CXorf38	0.03972444	0.83174117	0.772011948	0.29657904	19.41577039	0.112375978277844	0.0800118010279778
MRPL45	0.019869985	0.832239332	0.772591984	0.29580022	23.23992288	0.112049802174407	0.0797517631081854
EIF5B	-0.016520557	0.832898684	0.77332182	-0.294820535	26.27287127	0.111639735623189	0.0794078241104007
