id	WT_Rep1	WT_Rep2	WT_Rep3	KO.CDR1_Rep1	KO.CDR1_Rep2	KO.CDR1_Rep3	KO.CDR2_Rep1	KO.CDR2_Rep2	KO.CDR2_Rep3	KO.CDR2L_Rep1	KO.CDR2L_Rep2	KO.CDR2L_Rep3
TIAM1	103692.3887	109753.5211	108943.4155	126123.3567	97451.02783	107034.3317	123576.2437	112780.6797	115410.6589	127961.4461	126646.5908	114568.8285
USP40	100590.688	95110.99307	109143.61	146578.6608	140977.6725	116184.3583	107350.5158	112958.7969	91501.12287	117620.1002	114838.3589	96028.6479
AXIN1	106832.5044	120056.6593	110125.8129	111896.931		83822.93102	113520.0442	96609.17969	114890.7869			
LRP6	87855.3414	94775.56317	110752.4173	106105.3933	132024.0422	131323.7928	146788.1302	146023.3438	102811.4927		84329.47101	63276.05459
MYO5C	117964.7303	140376.319	110778.6699	111745.1566	72676.85167	77488.81356	150143.3601	205048.3203	364297.7308	48880.01413	94194.39206	74598.597
CGNL1	107607.659	101917.2652	110810.4608	443109.5461	502152.6452	256812.5145	103118.1727	75282.54688	69992.42849	306736.7579	522603.2959	622599.3492
CYP2U1	140039.5729	132159.5868	110931.7034	271714.7473	284485.5888	284485.1593	130314.4044	233171.4805	70195.28977	116259.0499	164640.0629	145157.2948
GINS1	119652.7471	110783.5528	111089.6771	100724.5696	84577.62387	83503.01316	115588.4119	150078.7188	140710.8944	131443.2854	138714.1711	120810.2089
SPRED1	111324.4479	106727.7617	111152.6231	132752.9085	149936.0955	93191.16826	304870.0798	319696.7813	493876.6372	255368.5822	448585.9426	328250.2349
YAF2	75264.70638	105513.744	111429.5552	98016.37705	106370.0337	102591.1029	137748.256	96431.92969	170440.9931	97637.40986	128336.53	145302.8083
DHX34	128486.9554	122380.8235	111890.882	133612.8721	92150.30624	77172.29339	131261.2506	100721.6318	123124.7248	88118.87657	85447.23033	93416.47408
E2F4	111022.4844	500440.2402	112142.7993	473332.9689	629804.6275	583983.9108	1328807.523	626411.25	887462.8191	1143899.391	1140827.209	1054609.757
GALNT10	131646.2145	116245.9557	112198.1059	121905.31	251449.7573	107030.2518	121434.7228	107406.8125	118189.9971	85037.3542	118840.4044	81928.3749
IRF2	95659.49417	138200.1512	112671.0304	222927.0979	140937.4638	229196.0089	124596.497		159963.333	146599.1049	182867.9285	212022.4738
CNTRL	148062.1962	118520.2919	112688.4962			69992.21718	234741.9608	233472.2188	198276.241	119007.3079	145894.4061	120794.2621
CPNE8	87410.0615	101497.51	113154.708	576043.7778	639617.7944	680980.3346	551930.6469	645911.7344	718346.79	134157.496	113523.5826	227161.019
POT1	191614.0562	177854.1974	113205.3169	132979.7891	118919.7197	142672.0846	115675.7362	109042.0703	131024.7518	131788.6944	132111.7697	168789.8122
PKD1L1	264914.8854	204961.7469	114411.4833	202941.5223	159252.9987	193486.0557	182991.1377	159330.3125	211961.8361	150214.3678	137606.1833	119415.1517
ARFGEF3	132527.2647		114416.0518	141693.7279	156363.7155	129933.1455	124693.4765	114517.6563		128477.9378	123081.1709	102981.2318
RAB28	91600.42643	105172.9016	114648.2149	101689.3375	93696.73567	106143.3607	96737.45908	94694.82813	114106.6869	97119.07748	135740.5397	138237.3403
NR2F2	122576.2685	119067.4708	115254.3043	128798.299	85600.31867	107996.9542	96829.90492	125746.5078	117727.3106	190424.8261	156709.0827	141719.5876
CLCN3	151264.3723	137429.4676	115354.2507	91609.40999	46270.5981	64125.44344	80321.35278	55220.89453		201850.0077	166401.2923	122216.1011
GNB5	118019.3619	119240.9485	115657.3546	169527.1637	151865.2385	147293.3117	94851.72962	85225.57031	83184.97728	86971.90724	88582.55292	79971.09159
TLCD3A	153563.7049	129589.9489	115862.6887			132229.2534				169987.9482		
KIAA1109	103276.9884	109624.1206	116257.227	111814.4465	106446.0242	123608.2483	98150.76304	68793.98242	72817.34478	95622.3972	106868.1257	94078.67533
RIMS2	138009.5539		116478.5399	145901.8227	71761.12139	146534.1251	182755.7611	137972.8125	181198.1847	122238.4182	140774.5262	160660.4177
BBS2	110488.0507	110846.6216	116727.6624	123821.6208	111390.3297	103401.1	95075.40241	127423.2578	107804.8386	122706.4456	115240.0495	125092.275
GSPT2	125693.1075	149900.0839	117395.7065	503422.4062	485142.5055	443001.362	579519.9271	661191.75	602419.8615			
ID3	182431.3832	216009.4468	117451.1533	128212.4985	91294.50943	76586.04419	121641.0091	125798.4531	218018.0555	63411.1952	58795.70443	47886.9001
CNTNAP1	91018.58944	101973.0934	118029.6189	625844.5723	716005.8405	655283.6807	313664.2898	167137.1094	201476.6222	249415.0479	328582.9269	256841.3563
GPSM1	113690.267	117341.6761	118215.8897	100143.6676	105816.705	94378.2074	103800.6009	124145.3906	118709.2304	94025.52981	92136.96332	95956.4957
RAB11FIP5	110679.2435	134015.1898	118325.5334	217372.4923	201083.1226	150886.6056	276411.0658	429893.3281	234697.4575	345545.6115	322697.1125	227464.4558
BBS7	130602.2755	119498.2141	118404.4798	93745.72913	99067.8796	117994.0308	87150.04435	114308.9844	116819.4806	84178.46821	102827.5706	104690.38
AP4E1	110780.4646	103751.607	119019.5122	108081.3491	85178.61281	105577.2649	206273.8616	127756.3047	143409.4748	85065.93929	83126.76316	70639.41717
SCRN3	929416.3166	579421.2325	119260.0419	910210.9055	541519.0596	739596.7555	998651.711	859267.8164	828960.2792	715543.1273	438259.9819	474985.1619
BTBD1	152092.8235	131658.3613	120158.2827	183460.6948	159129.1285	137012.9773	160694.7581	152498.3594	151945.1647	115068.0376	105086.6787	89838.22328
MFAP3	86445.99934	116093.7537	121333.0192	99415.3231	131612.1455	101580.0274	116085.5744	198721.4531	119089.3707	79232.61059	78250.76103	74585.21046
ZNF395	175501.4091	114562.7604	121558.6528	60523.1321	70318.25233	56688.3395	107280.382	81070.89063	103304.1984	240487.4999	247968.3815	219002.9237
ANKRD36B		107619.1609	122266.6603	238355.9755	248459.9393	281195.0815	185003.6406	187977.7344	337089.1677	286456.2871	321553.6464	481509.4239
LYN	149642.2527	91317.39059	122310.5673	1136661.686	266622.7876	1044210.134	160997.1867	316074.9375	166261.7835	732277.1563	188355.5172	260723.2634
PHLDA3	108918.3778	159256.8152	122600.9463	87321.15279	78023.98263	117574.8333	226352.3071	236340.1719	123201.3715	196590.3906		
SMUG1	185897.0838	205694.1593	122756.9644	245226.9044	208417.0015	218092.8994	418300.6531	170770.9063	166459.1178	227100.8617	157687.5297	279431.8537
DEF6	820962.4803	640201.6812	123363.377	594325.0285	363657.5648	112332.7597	588782.1737	308696.3281	297898.1679	487117.0336	305594.4209	312198.806
PIBF1	149906.2903	142114.786	123393.126	155511.8061	96259.15162			138423.125	207828.8176	240389.5763		
SELENOI	248913.1453	214260.1213	123984.8742	141991.9192	144427.5896	240739.3615	288860.5517	353488.6875	325085.1555	401232.4045	366265.039	488222.4011
CHD6	254837.3387	475129.9128	124199.9055	386895.6973	381479.1333	335168.8907	195738.1088	155523.6445	248313.2081	215712.1653	236492.3943	332328.792
LTBP4	85917.06609	101519.8509	124758.4567	125377.2315	130621.0291	140091.8577		106108.6172	222692.3213	153549.4013	150314.1752	
FADD	1583877.377	96226.14658	124779.6183	3002043.711	3712567.251	578294.7371	5219480.463	5413063.813	726870.6255	686131.8439	827432.7498	4569600.477
NECTIN1	138892.9936	119189.1269	125807.8831	156972.7634	150491.1881	181222.9808	230226.7132	243737.4063	251195.0245	208175.6805	220542.963	192501.8098
MED25	122936.8046	42538.36616	125828.3875	172361.2364	166956.3541	134555.1478	185743.2074	153672.9375	147713.1554	181638.2286	169130.5122	142142.2511
